name_image,steering
2024-06-13 14-33-14.png,-2.8934427052303238e-12
2024-06-13 14-33-14.png,4.517233506607883e-11
2024-06-13 14-33-15.png,9.03083714359217e-11
2024-06-13 14-33-15.png,1.678613552070125e-10
2024-06-13 14-33-15.png,2.3268847475438265e-10
2024-06-13 14-33-16.png,2.961868898858044e-10
2024-06-13 14-33-16.png,3.5786599033706064e-10
2024-06-13 14-33-16.png,4.166239934463297e-10
2024-06-13 14-33-17.png,1.3912430075937533e-11
2024-06-13 14-33-17.png,-3.35185309164768e-11
2024-06-13 14-33-17.png,-5.410613849758534e-11
2024-06-13 14-33-18.png,-5.233663907482513e-11
2024-06-13 14-33-18.png,-5.2596395402600563e-11
2024-06-13 14-33-18.png,-5.2566759604133276e-11
2024-06-13 14-33-19.png,-5.256133799346564e-11
2024-06-13 14-33-19.png,-5.2563353500925626e-11
2024-06-13 14-33-19.png,-5.25633023306859e-11
2024-06-13 14-33-20.png,-5.25644197701136e-11
2024-06-13 14-33-20.png,-5.2562567862699864e-11
2024-06-13 14-33-20.png,-5.256254435954728e-11
2024-06-13 14-33-21.png,-5.2565826441223115e-11
2024-06-13 14-33-21.png,-5.2563480978510685e-11
2024-06-13 14-33-21.png,-5.256321547335992e-11
2024-06-13 14-33-22.png,-5.256424463792553e-11
2024-06-13 14-33-22.png,-5.256443549775519e-11
2024-06-13 14-33-23.png,-5.2563277524928993e-11
2024-06-13 14-33-23.png,-5.2565062450724265e-11
2024-06-13 14-33-23.png,-5.256302329063685e-11
2024-06-13 14-33-24.png,-5.2564081072581164e-11
2024-06-13 14-33-24.png,-5.25649483369633e-11
2024-06-13 14-33-25.png,-5.2562012547555537e-11
2024-06-13 14-33-25.png,-5.2561448351456046e-11
2024-06-13 14-33-25.png,-5.2562582041475535e-11
2024-06-13 14-33-26.png,-5.2562969849475326e-11
2024-06-13 14-33-26.png,-5.256336327393883e-11
2024-06-13 14-33-26.png,-5.256191445536983e-11
2024-06-13 14-33-27.png,-5.256289475029014e-11
2024-06-13 14-33-27.png,-5.2563714641019514e-11
2024-06-13 14-33-27.png,-5.2564776938761165e-11
2024-06-13 14-33-28.png,-5.256311109276191e-11
2024-06-13 14-33-28.png,-5.2562811500398076e-11
2024-06-13 14-33-29.png,-5.256377689195897e-11
2024-06-13 14-33-29.png,-5.256404414612689e-11
2024-06-13 14-33-29.png,-5.2564369001976295e-11
2024-06-13 14-33-30.png,-5.256317881684446e-11
2024-06-13 14-33-30.png,-5.256444732655706e-11
2024-06-13 14-33-30.png,-5.256240939641443e-11
2024-06-13 14-33-31.png,-5.256240599637124e-11
2024-06-13 14-33-31.png,-5.256154670193386e-11
2024-06-13 14-33-32.png,-5.25647289154606e-11
2024-06-13 14-33-32.png,-5.2563855581452116e-11
2024-06-13 14-33-32.png,-5.256357300686693e-11
2024-06-13 14-33-33.png,-5.2564580998441125e-11
2024-06-13 14-33-33.png,-5.256327825647429e-11
2024-06-13 14-33-34.png,-5.2563797446033996e-11
2024-06-13 14-33-34.png,-5.256410747250702e-11
2024-06-13 14-33-34.png,-5.255992984984229e-11
2024-06-13 14-33-35.png,-5.256707981697158e-11
2024-06-13 14-33-35.png,-5.256609083019621e-11
2024-06-13 14-33-35.png,-5.256343976122573e-11
2024-06-13 14-33-36.png,-5.256270960934901e-11
2024-06-13 14-33-36.png,-5.256457346633299e-11
2024-06-13 14-33-37.png,-5.2565281807905406e-11
2024-06-13 14-33-37.png,-5.2566142900620203e-11
2024-06-13 14-33-37.png,-5.256304069711098e-11
2024-06-13 14-33-38.png,-5.256334632443898e-11
2024-06-13 14-33-38.png,-5.256352241475366e-11
2024-06-13 14-33-39.png,-5.2560651795055003e-11
2024-06-13 14-33-39.png,0.0018605274758890828
2024-06-13 14-33-39.png,0.001952944545521909
2024-06-13 14-33-40.png,0.0019576446178488044
2024-06-13 14-33-40.png,0.0019578621584739587
2024-06-13 14-33-41.png,0.001957871125005404
2024-06-13 14-33-41.png,-0.016647458179601164
2024-06-13 14-33-41.png,0.0010333437833350573
2024-06-13 14-33-42.png,0.0019108612389933566
2024-06-13 14-33-42.png,0.001955696813422311
2024-06-13 14-33-42.png,0.001957781047535948
2024-06-13 14-33-43.png,0.0019578653193621878
2024-06-13 14-33-43.png,0.0019578710433611566
2024-06-13 14-33-44.png,-0.005484251377511099
2024-06-13 14-33-44.png,-0.005853920329128329
2024-06-13 14-33-44.png,-0.01703627059977878
2024-06-13 14-33-45.png,-0.03619999570054047
2024-06-13 14-33-45.png,-0.05204428603245548
